PDF,Seite,Bitfeld,MSB,LSB,Zeile
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,5,EXCH[7:0],7,0,.seR .seR .seR .seR .seR .seR .seR .seR AWDCH[7:0] EXCH[7:0] .seR EIBAKC EIDCS EIDWA EIRVOR EIRVOJ EICOER EICOEJ
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,6,EXCH[7:0],7,0,.seR .seR .seR .seR .seR .seR .seR .seR AWDCH[7:0] EXCH[7:0] .seR .seR .seR EIDWA EIRVOR EIRVOJ EICOER EICOEJ
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,7,EXCH[7:0],7,0,.seR .seR .seR .seR .seR .seR .seR .seR AWDCH[7:0] EXCH[7:0] .seR .seR .seR EIDWA EIRVOR EIRVOJ EICOER EICOEJ
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,9,EXCH[7:0],7,0,.seR .seR .seR .seR .seR .seR .seR .seR AWDCH[7:0] EXCH[7:0] .seR .seR .seR EIDWA EIRVOR EIRVOJ EICOER EICOEJ
rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,3,EXCH[3:0],3,0,.seR .seR .seR .seR .seR .seR .seR .seR .seR .seR .seR .seR AWDCH[3:0] .seR .seR .seR .seR EXCH[3:0] .seR EIBAKC EIDCS EIDWA EIRVOR EIRVOJ EICOER EICOEJ
rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,4,EXCH[3:0],3,0,.seR .seR .seR .seR .seR .seR .seR .seR .seR .seR .seR .seR AWDCH[3:0] .seR .seR .seR .seR EXCH[3:0] .seR .seR .seR EIDWA EIRVOR EIRVOJ EICOER EICOEJ
rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,5,EXCH[7:0],7,0,.seR .seR .seR .seR .seR .seR .seR .seR AWDCH[7:0] EXCH[7:0] .seR EIBAKC EIDCS EIDWA EIRVOR EIRVOJ EICOER EICOEJ
rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,6,EXCH[7:0],7,0,.seR .seR .seR .seR .seR .seR .seR .seR AWDCH[7:0] EXCH[7:0] .seR .seR .seR EIDWA EIRVOR EIRVOJ EICOER EICOEJ
rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,7,EXCH[7:0],7,0,.seR .seR .seR .seR .seR .seR .seR .seR AWDCH[7:0] EXCH[7:0] .seR .seR .seR EIDWA EIRVOR EIRVOJ EICOER EICOEJ
rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,9,EXCH[7:0],7,0,.seR .seR .seR .seR .seR .seR .seR .seR AWDCH[7:0] EXCH[7:0] .seR .seR .seR EIDWA EIRVOR EIRVOJ EICOER EICOEJ
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,3,EXCH[3:0],3,0,.seR .seR .seR .seR .seR .seR .seR .seR .seR .seR .seR .seR AWDCH[3:0] .seR .seR .seR .seR EXCH[3:0] .seR EIBAKC EIDCS EIDWA EIRVOR EIRVOJ EICOER EICOEJ
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,4,EXCH[3:0],3,0,.seR .seR .seR .seR .seR .seR .seR .seR .seR .seR .seR .seR AWDCH[3:0] .seR .seR .seR .seR EXCH[3:0] .seR .seR .seR EIDWA EIRVOR EIRVOJ EICOER EICOEJ
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,5,EXCH[7:0],7,0,.seR .seR .seR .seR .seR .seR .seR .seR AWDCH[7:0] EXCH[7:0] .seR EIBAKC EIDCS EIDWA EIRVOR EIRVOJ EICOER EICOEJ
