PDF,Seite,Bitfeld,MSB,LSB,Schreibweise
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,1,CNVCNT,27,0,CNVCNT[27:0]
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,1,CNVCNT,27,0,CNVCNT[27:0]
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,1,FOSR,9,0,FOSR[9:0]
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,1,CNVCNT,27,0,CNVCNT[27:0]
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,1,FOSR,9,0,FOSR[9:0]
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,1,CKOUTDIV,7,0,CKOUTDIV[7:0]
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,1,OFFSET,23,0,OFFSET[23:0]
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,1,DTRBS,4,0,DTRBS[4:0]
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,1,AWFOSR,4,0,AWFOSR[4:0]
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,1,BKSCD,3,0,BKSCD[3:0]
rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm_regmap.pdf,1,SCDT,7,0,SCDT[7:0]
